pacManEaten,numActivePills,numActivePowerPills,score,pacManDistanceToUnedibleBlinky,pacManDistanceToUnedibleInky,pacManDistanceToUnediblePinky,pacManDistanceToUnedibleSue,pacManNearestGhostEdible,pacManDistanceToNearestGhostUnder20,pacManNearestGhostEdibleAndUnder40,pacManDistanceToNearestPill,numTotalActivePills,numLevel,levelTime,totalGameTime,numGhostsEaten,livesRemaining,gameOver,wasPillEaten,wasPowerPillEaten,pacManNumPossibleMoves,blinkyNumPossibleMoves,inkyNumPossibleMoves,pinkyNumPossibleMoves,sueNumPossibleMoves,distanceToNextNearestPillMOreThan10IfPillJustEaten,distanceToNearestPillAboveFive,pacManLastMoveLeft,pacManLastMoveDown,pacManDistanceToNearestGhostIfUnder10,pacManDistanceToNearestGhostIfUnder5,likelyNotStuck,reversedDirection,pacManDistanceToNearestGhostEdibleIfUnder10,pacManDistanceToNearestGhostEdibleIfUnder5
473,117,83,-78,222,314,-351,179,199,299,311,238,-57,345,270,-270,31,-60,-103,-342,-337,-418,-486,156,310,226,-147,-37,-474,-430,495,-197,84,-84,363,94
-162,-239,-23,401,222,314,20,179,-286,154,-46,303,309,122,270,-270,31,-91,-12,-342,-231,76,18,-38,-315,203,219,244,-306,113,414,-197,406,-70,-461,94
-162,-282,-214,222,222,282,360,211,-350,-124,-248,238,-123,-456,312,173,31,182,389,471,498,161,18,-38,-258,-143,-147,-448,-306,113,151,261,397,-269,-113,-372
-101,-376,163,-78,222,314,20,-316,285,441,292,165,309,-109,-336,365,-287,-60,-388,-342,245,-57,-486,-38,-88,86,-147,244,-405,-13,-287,261,344,-70,165,94
-101,-376,361,401,222,314,20,179,-499,441,454,165,309,-68,-336,158,-287,436,-12,471,-298,-57,182,-38,-88,86,-147,-363,424,-13,34,261,-60,-70,165,290
473,-50,28,211,493,314,360,179,-286,299,292,-181,-11,122,292,-270,31,436,-12,-342,-400,-418,18,419,-7,492,-147,283,-179,394,273,-130,465,-381,363,-88
157,-239,-416,401,493,314,26,179,-286,-222,-217,-109,479,122,270,-36,172,77,418,38,485,44,-338,170,289,203,-129,283,377,113,464,261,465,-219,363,-180
157,-282,-13,-389,222,314,360,179,-168,461,-352,235,-57,-193,-336,-270,-99,-60,-12,-342,-298,-39,351,170,188,86,-306,-363,-405,-13,465,261,397,88,-18,-215
-363,-376,-23,-105,222,-412,-338,179,-286,280,454,235,479,122,312,158,-100,436,438,38,485,44,6,228,107,86,-147,244,377,113,151,-130,465,-206,-258,94
157,-239,-416,-389,-68,314,360,179,-286,-222,-217,-109,309,134,312,158,172,-8,-418,471,485,-376,335,-239,188,429,-357,11,257,113,151,-197,230,140,260,-180
422,-282,-416,237,222,344,20,179,-286,-256,-352,148,-123,122,-22,-355,-98,-474,438,38,485,-39,333,-38,-264,-125,416,283,377,-13,-400,243,243,-219,386,-88
157,-239,-21,-219,-403,412,26,179,65,-222,292,-387,-123,-423,304,-273,172,77,-418,-342,-154,44,-212,-72,-7,-42,-147,26,-474,113,-468,-197,230,-70,-144,-180
473,-385,361,401,-127,157,118,179,306,-222,47,364,479,-423,312,-273,430,-60,-379,-342,-154,-39,-338,100,-7,0,-147,-423,237,-60,151,-197,465,-219,-144,94
473,-239,-416,-78,222,314,20,277,-286,-222,47,-86,-386,-275,180,498,172,-60,-418,38,485,-39,-393,419,289,483,-322,244,-405,-13,151,-199,52,-380,-144,94
422,-239,-416,211,493,-84,20,204,306,-222,47,238,479,-275,-438,309,32,-277,-418,482,-3,-39,-393,-397,206,-143,-147,-187,-405,-60,76,261,465,-167,-449,131
41,-239,377,211,192,314,239,179,411,-222,47,-181,-57,-90,422,-273,430,-60,-443,-342,148,-168,196,-38,289,226,-322,26,-166,-13,465,253,-137,436,-449,94
422,-239,-416,-219,493,314,20,277,-322,-424,47,-181,-386,-423,312,-273,55,436,-418,-342,485,-198,182,-38,438,0,-357,-94,-166,-60,76,-113,-60,88,363,-215
393,-282,-416,-78,197,314,20,179,306,468,47,-79,-386,-423,440,-123,55,-474,-139,-342,148,-39,158,120,203,0,-147,-423,237,-116,414,-113,52,-70,421,179
393,-303,-20,272,493,314,20,277,306,-222,-126,-79,-324,122,312,-270,-217,436,-139,206,-321,-418,182,76,438,-143,-147,-94,-306,113,-278,-460,465,88,363,265
473,198,-416,211,-455,314,20,339,306,-222,47,238,-386,-423,312,-166,430,-60,-371,-16,-215,18,182,-38,438,0,-122,171,-166,-13,76,-113,-75,-381,-359,290
41,-327,-416,-219,-455,314,20,277,306,-113,-425,79,479,-423,-224,-166,32,157,438,-342,-30,44,76,-38,289,-224,-122,171,-166,-60,76,-199,52,-381,363,-399
41,198,-416,227,352,314,20,277,-32,-222,47,333,26,-423,312,480,172,436,-248,38,485,-418,-350,-38,289,0,-122,26,90,113,76,452,52,-381,120,265
369,-239,-416,-219,493,314,-457,339,-392,-222,47,-181,-324,-423,312,372,430,-213,-12,-270,485,-418,-296,-38,438,475,-339,244,462,113,76,-113,226,11,-449,-215
-105,-239,-63,13,381,319,20,277,60,468,47,-181,218,112,190,-119,127,175,-371,482,-215,-39,-452,-38,289,0,-122,259,-166,-114,76,60,-75,-440,-449,-88
